customer_id,customer_code,region,signup_date
1,C0001,North,2024-04-30
2,C0002,,2023-03-28
3,C0003,North,2025-05-18
4,C0004, midlands ,2024-11-11
5,C0005,Midlands,2023-12-15
6,C0006,North,2024-10-21
7,C0007,South,2025-02-12
8,C0008,Scotland,2024-03-20
9,C0009,Wales,2026-05-01
10,C0010,South,2023-08-12
11,C0011,Scotland,2025-04-22
12,C0012,,2025-12-14
13,C0013,,2023-01-06
14,C0014,South,2023-07-31
15,C0015,,2023-03-22
16,C0016,North,2023-04-23
17,C0017, south ,2025-10-27
18,C0018,North,2023-11-23
19,C0019,Scotland,2025-03-31
20,C0020, south ,2023-06-12
21,C0021,South,2026-06-05
22,C0022,North,2024-05-17
23,C0023,Midlands,2024-01-05
24,C0024,Scotland,2025-07-18
25,C0025,Wales,2025-11-18
26,C0026,Midlands,2023-07-19
27,C0027,Scotland,2024-06-19
28,C0028,Scotland,2024-12-13
29,C0029,South,2023-08-08
30,C0030,Midlands,2026-07-16
31,C0031,Wales,2023-12-25
32,C0032,North,2023-10-19
33,C0033,North,2025-10-23
34,C0034,South,2023-05-21
35,C0035,South,2024-11-24
36,C0036,Scotland,2023-04-05
37,C0037,South,2024-11-11
38,C0038,Scotland,2024-01-08
39,C0039,Midlands,2026-03-16
40,C0040,South,2023-07-04
41,C0041,North,2023-06-02
42,C0042,North,2023-03-20
43,C0043,Midlands,2025-04-30
44,C0044,,2024-08-08
45,C0045,South,2024-03-05
46,C0046,North,2024-07-08
47,C0047,Scotland,2024-07-17
48,C0048,Wales,2025-03-07
49,C0049, north ,2024-01-10
50,C0050,North,2024-07-21
51,C0051,,2024-02-20
52,C0052,Wales,2025-01-28
53,C0053,Midlands,2026-07-13
54,C0054,Midlands,2025-08-31
55,C0055,North,2023-01-07
56,C0056,North,2025-07-04
57,C0057,South,2023-06-01
58,C0058,Midlands,2023-07-13
59,C0059,South,2025-10-31
60,C0060,Scotland,2025-12-06
61,C0061,South,2024-04-25
62,C0062,South,2026-01-29
63,C0063,South,2025-10-23
64,C0064,Midlands,2026-04-09
65,C0065,South,2023-02-28
66,C0066,South,2025-09-07
67,C0067,Midlands,2023-11-19
68,C0068,North,2023-01-03
69,C0069,North,2024-03-17
70,C0070,North,2026-04-18
71,C0071,North,2024-03-01
72,C0072,North,2025-02-27
73,C0073,North,2024-09-12
74,C0074,North,2023-02-03
75,C0075,South,2024-12-28
76,C0076,South,2023-05-02
77,C0077,North,2024-01-30
78,C0078,Midlands,2023-02-03
79,C0079,South,2026-05-12
80,C0080,North,2023-07-12
81,C0081,Scotland,2025-08-26
82,C0082,South,2023-11-07
83,C0083,South,2026-04-16
84,C0084,,2023-09-11
85,C0085, north ,2024-01-14
86,C0086,North,2024-04-16
87,C0087,South,2024-11-24
88,C0088,North,2023-09-16
89,C0089,North,2024-10-17
90,C0090,South,2025-03-17
91,C0091,Scotland,2023-01-13
92,C0092,South,2023-02-26
93,C0093,Midlands,2023-04-10
94,C0094,South,2026-05-12
95,C0095,South,2025-08-05
96,C0096,Scotland,2025-09-23
97,C0097,Wales,2023-11-16
98,C0098,Midlands,2024-08-15
99,C0099,North,2024-07-06
100,C0100,South,2026-07-06
101,C0101,South,2023-11-09
102,C0102,,2023-12-24
103,C0103,Midlands,2025-11-04
104,C0104,South,2023-10-09
105,C0105,South,2025-10-29
106,C0106,North,2023-03-01
107,C0107, south ,2024-02-22
