order_id,customer_id,order_date,status
10001,36,2024-01-05, completed 
10002,18,2024-01-18,CANCELLED
10003,175,2024-01-22,Completed
10004,137,2024-01-21,Completed
10005,136,2024-01-23,Completed
10006,85,2024-01-24,Completed
10007,104,2024-01-30,Completed
10008,34,2024-01-20,Completed
10009,175,2024-01-10,Completed
10010,138,2024-01-04,Completed
10011,82,2024-01-13,Completed
10012,102,2024-01-28,Completed
10013,211,2024-01-01,Cancelled
10014,192,2024-01-15,Completed
10015,249,2024-01-30,Completed
10016,218,2024-01-31,Completed
10017,91,2024-01-05,Completed
10018,217,2024-01-09,Completed
10019,23,2024-01-26,Completed
10020,5,2024-01-29,Cancelled
10021,254,2024-01-17,Completed
10022,88,2024-01-23,Completed
10023,137,2024-01-17,Returned
10024,97,2024-01-17,Completed
10025,249,2024-01-02,Completed
10026,181,2024-01-04,Completed
10027,187,2024-01-03,Completed
10028,225,2024-01-17,Completed
10029,80,2024-01-22,Completed
10030,76,2024-01-21,Completed
10031,101,2024-01-14,Completed
10032,36,2024-01-18,Completed
10033,234,2024-01-12,Completed
10034,218,2024-01-03,Completed
10035,175,2024-01-04,Completed
10036,49,2024-01-17,Completed
10037,36,2024-01-03,Completed
10038,155,2024-01-30,Completed
10039,139,2024-01-05,Completed
10040,136,2024-01-07,Completed
10041,58,2024-01-17,Completed
10042,68,2024-01-14,Completed
10043,212,2024-01-22,Completed
10044,57,2024-01-16,Completed
10045,217,2024-01-23,Completed
10046,116,2024-01-29,Completed
10047,191,2024-01-15,Completed
10048,18,2024-01-16,Completed
10049,181,2024-01-27,Completed
10050,175,2024-01-12,Completed
10051,88,2024-01-15,Completed
10052,233,2024-01-16,Cancelled
10053,255,2024-01-22,Completed
10054,220,2024-01-30,Completed
10055,51,2024-02-27,Completed
10056,18,2024-02-28,Completed
10057,192,2024-02-19,Completed
10058,254,2024-02-28,Completed
10059,248,2024-02-07,Completed
10060,145,2024-02-23,Returned
10061,210,2024-02-11,Completed
10062,225,2024-02-09,Completed
10063,125,2024-02-13,Completed
10064,155,2024-02-05,Completed
10065,88,2024-02-03,Completed
10066,184,2024-02-04,Completed
10067,136,2024-02-03,Completed
10068,2,2024-02-08,Completed
10069,29,2024-02-24,Completed
10070,23,2024-02-12,Completed
10071,220,2024-02-13,Completed
10072,29,2024-02-24,Completed
10073,82,2024-02-17,Completed
10074,67,2024-02-06,Completed
10075,38,2024-02-15,Completed
10076,141,2024-02-29,Cancelled
10077,49,2024-02-18,Completed
10078,144,2024-02-07,Returned
10079,92,2024-02-26,Completed
10080,14,2024-02-02,Cancelled
10081,142,2024-02-03,Completed
10082,141,2024-02-16,Completed
10083,144,2024-02-17,Completed
10084,40,2024-02-28,Cancelled
10085,158,2024-02-23,Completed
10086,220,2024-02-25,Completed
10087,82,2024-02-04,Completed
10088,10,2024-02-15,Completed
10089,82,2024-02-23,Completed
10090,209,2024-02-07,Completed
10091,85,2024-02-11,Completed
10092,5,2024-02-01,Completed
10093,185,2024-02-16,Completed
10094,26,2024-02-10,Completed
10095,125,2024-02-13,Returned
10096,181,2024-02-09,Completed
10097,31,2024-02-05,Cancelled
10098,224,2024-02-11,Completed
10099,29,2024-02-14,Completed
10100,97,2024-02-11,Cancelled
10101,212,2024-02-27,Completed
10102,84,2024-02-15,Completed
10103,216,2024-02-27,Cancelled
10104,104,2024-02-27,Completed
10105,213,2024-02-24,Returned
10106,178,2024-02-16,Completed
10107,102,2024-02-23,Cancelled
10108,14,2024-02-20,Cancelled
10109,51,2024-03-10,Completed
10110,36,2024-03-20,Completed
10111,224,2024-03-21,Completed
10112,16,2024-03-28,Cancelled
10113,55,2024-03-13,Completed
10114,220,2024-03-30,Completed
10115,123,2024-03-11,Completed
10116,191,2024-03-03,Completed
10117,65,2024-03-16,Cancelled
10118,5,2024-03-16,Completed
10119,26,2024-03-28,Completed
10120,137,2024-03-29,Completed
10121,206,2024-03-10,Cancelled
10122,192,2024-03-05,Completed
10123,51,2024-03-27,Completed
10124,104,2024-03-15,Completed
10125,15,2024-03-31,Completed
10126,130,2024-03-29,Completed
10127,206,2024-03-26,Completed
10128,212,2024-03-07,Completed
10129,208,2024-03-11,Cancelled
10130,78,2024-03-20,Completed
10131,23,2024-03-14,Completed
10132,193,2024-03-16,Completed
10133,104,2024-03-13,Completed
10134,125,2024-03-29,Cancelled
10135,197,2024-03-21,Completed
10136,15,2024-03-29,Completed
10137,220,2024-03-19,Completed
10138,88,2024-03-06,Cancelled
10139,213,2024-03-17,Cancelled
10140,185,2024-03-13,Completed
