cohort_month,month_0_pct,month_1_pct,month_2_pct,month_3_pct,month_4_pct,month_5_pct,month_6_pct
2024-01,100.0,39.5,36.8,28.9,39.5,39.5,39.5
2024-02,100.0,40.9,36.4,40.9,31.8,27.3,22.7
2024-03,100.0,16.7,33.3,25.0,8.3,25.0,33.3
2024-04,100.0,25.0,8.3,33.3,33.3,33.3,16.7
2024-05,100.0,25.0,25.0,37.5,25.0,25.0,12.5
2024-06,100.0,10.0,50.0,30.0,30.0,30.0,20.0
2024-07,100.0,,,40.0,,20.0,20.0
2024-08,100.0,50.0,37.5,50.0,50.0,12.5,62.5
2024-09,100.0,50.0,50.0,50.0,50.0,50.0,50.0
2024-10,100.0,,25.0,75.0,,50.0,25.0
2024-11,100.0,40.0,40.0,20.0,40.0,20.0,20.0
2024-12,100.0,14.3,14.3,28.6,28.6,,28.6
2025-01,100.0,25.0,,,25.0,,25.0
2025-02,100.0,40.0,20.0,,,20.0,20.0
2025-03,100.0,25.0,62.5,12.5,25.0,37.5,12.5
2025-04,100.0,20.0,40.0,20.0,20.0,40.0,
2025-05,100.0,20.0,,40.0,40.0,20.0,20.0
2025-06,100.0,33.3,16.7,16.7,16.7,33.3,50.0
2025-07,100.0,,16.7,33.3,,16.7,
2025-08,100.0,,33.3,33.3,33.3,16.7,16.7
2025-09,100.0,40.0,,40.0,20.0,20.0,60.0
2025-10,100.0,100.0,33.3,,33.3,33.3,33.3
2025-11,100.0,50.0,,25.0,,50.0,50.0
2025-12,100.0,50.0,16.7,33.3,33.3,50.0,16.7
2026-01,100.0,,,16.7,50.0,16.7,16.7
2026-02,100.0,,66.7,33.3,,33.3,
2026-03,100.0,16.7,16.7,16.7,,16.7,
2026-04,100.0,,40.0,40.0,,,
2026-05,100.0,50.0,,,,,
2026-06,100.0,28.6,42.9,,,,
2026-07,100.0,50.0,,,,,
2026-08,100.0,,,,,,
