customer_id,last_purchase,frequency,monetary_gbp,recency_days,segment
155,2026-05-12,20,9253.75,111,Loyal
125,2026-07-23,18,9150.6,39,Champions
82,2026-04-19,19,8750.5,134,Developing
192,2026-08-20,18,8628.9,11,Champions
230,2026-07-23,15,8268.9,39,Champions
88,2026-02-26,14,7911.5,186,At Risk
71,2026-08-13,15,7893.25,18,Champions
36,2025-09-18,11,7713.8,347,At Risk
174,2026-07-05,16,7599.95,57,Champions
197,2026-08-12,15,7466.25,19,Champions
209,2026-08-02,7,7341.75,29,Champions
23,2026-08-22,16,7315.15,9,Champions
142,2026-07-08,15,7278.25,54,Champions
203,2026-07-12,9,7034.0,50,Champions
181,2026-01-18,8,6931.65,225,At Risk
15,2026-08-10,15,6843.8,21,Champions
58,2026-08-20,14,6797.25,11,Champions
224,2026-04-05,10,6641.85,148,Developing
184,2026-08-19,13,6638.4,12,Champions
245,2026-08-30,10,6590.65,1,Champions
234,2026-06-22,15,6370.05,70,Champions
34,2026-07-23,15,6293.85,39,Champions
42,2026-05-24,10,6284.4,99,Loyal
137,2026-05-02,15,6255.05,121,Developing
29,2026-08-25,12,6224.75,6,Champions
49,2025-09-28,13,6204.8,337,At Risk
236,2026-08-21,9,6147.25,10,Champions
80,2026-07-05,14,6087.2,57,Champions
191,2026-06-24,13,5986.7,68,Champions
216,2025-11-25,10,5941.0,279,At Risk
220,2026-08-18,17,5934.15,13,Champions
135,2026-07-27,13,5930.95,35,Champions
45,2026-04-22,10,5903.35,131,Developing
136,2026-04-15,18,5879.35,138,Developing
123,2026-08-03,16,5541.85,28,Champions
86,2026-05-03,14,5532.05,120,Loyal
10,2026-07-07,17,5526.15,55,Champions
85,2026-07-15,14,5445.15,47,Champions
32,2026-04-17,16,5445.0,136,Developing
8,2026-06-05,14,5363.55,87,Champions
92,2026-08-14,14,5362.3,17,Champions
225,2026-08-04,12,5346.8,27,Champions
26,2026-07-16,8,5331.0,46,Champions
38,2026-07-20,9,5261.05,42,Champions
217,2026-05-05,15,5236.35,118,Loyal
69,2026-07-23,17,5210.5,39,Champions
13,2026-08-19,13,5178.35,12,Champions
67,2026-07-22,17,5145.6,40,Champions
106,2026-06-07,11,5094.75,85,Champions
2,2026-07-09,13,4984.5,53,Champions
187,2026-07-03,11,4910.35,59,Champions
139,2026-05-26,12,4906.85,97,Loyal
16,2026-08-30,15,4783.0,1,Champions
141,2026-06-20,10,4694.9,72,Champions
57,2026-08-20,10,4648.0,11,Champions
68,2026-08-19,11,4611.4,12,Champions
157,2026-05-12,8,4599.15,111,Loyal
138,2026-06-11,11,4578.25,81,Champions
14,2026-05-16,10,4528.05,107,Loyal
210,2026-08-08,9,4347.4,23,Champions
18,2026-08-08,14,4330.0,23,Champions
158,2026-01-12,12,4296.1,231,At Risk
51,2026-08-10,19,4295.45,21,Champions
104,2026-07-21,16,4190.75,41,Champions
144,2026-07-22,15,4184.0,40,Champions
175,2026-08-29,17,4176.6,2,Champions
257,2026-02-15,9,4157.4,197,At Risk
221,2026-08-16,6,4155.7,15,Champions
241,2026-07-26,9,4144.75,36,Champions
65,2026-04-13,13,4095.9,140,Developing
61,2026-06-09,11,4083.85,83,Champions
40,2026-08-04,7,4077.25,27,Champions
254,2026-08-29,10,4032.65,2,Champions
211,2026-02-07,6,4017.5,205,At Risk
93,2026-08-30,10,4012.25,1,Champions
248,2026-06-21,12,3932.45,71,Champions
102,2026-05-09,8,3881.2,114,Loyal
97,2026-07-17,11,3795.9,45,Champions
101,2026-05-07,12,3769.7,116,Loyal
238,2026-05-04,5,3756.5,119,Loyal
212,2026-04-20,10,3733.3,133,Developing
129,2026-01-09,8,3707.55,234,At Risk
76,2026-05-11,12,3593.25,112,Loyal
84,2026-08-31,9,3572.1,0,Champions
218,2026-06-18,10,3528.2,74,Champions
75,2026-08-28,6,3486.15,3,Champions
44,2025-11-06,6,3469.2,298,At Risk
78,2026-08-13,10,3454.7,18,Champions
171,2026-08-19,9,3442.5,12,Champions
126,2026-06-02,12,3436.3,90,Champions
159,2026-08-29,8,3412.25,2,Champions
5,2026-04-14,10,3403.7,139,Developing
111,2026-07-20,5,3378.0,42,Loyal
226,2026-08-11,4,3356.9,20,Loyal
172,2026-07-28,9,3309.75,34,Champions
98,2026-06-22,7,3227.8,70,Champions
213,2026-05-25,10,3175.3,98,Loyal
189,2026-05-27,11,3094.8,96,Loyal
156,2026-08-18,11,3056.2,13,Champions
249,2026-07-26,12,3027.8,36,Champions
196,2026-04-17,2,3027.25,136,Developing
239,2026-08-25,12,3018.65,6,Champions
206,2026-03-14,6,3014.75,170,Developing
244,2026-05-24,11,3000.65,99,Loyal
246,2026-07-27,8,2982.25,35,Champions
41,2026-07-05,11,2952.6,57,Champions
43,2026-05-17,3,2948.2,106,Loyal
242,2026-03-27,12,2933.3,157,Developing
113,2026-05-03,7,2868.7,120,Loyal
200,2026-07-27,6,2862.8,35,Champions
233,2026-06-24,9,2858.4,68,Champions
258,2026-07-18,5,2843.8,44,Loyal
46,2026-04-16,10,2823.7,137,Developing
81,2026-08-01,6,2742.6,30,Champions
11,2026-08-28,7,2740.85,3,Champions
120,2026-06-30,9,2726.8,62,Champions
204,2026-04-06,6,2719.0,147,Developing
116,2026-08-14,9,2718.0,17,Champions
253,2026-04-19,5,2697.25,134,Developing
193,2026-07-16,9,2693.35,46,Champions
77,2026-06-30,10,2665.8,62,Champions
130,2026-06-01,7,2655.25,91,Loyal
178,2026-07-31,11,2649.5,31,Champions
22,2026-07-16,7,2606.2,46,Champions
59,2026-07-01,4,2555.2,61,Loyal
73,2026-08-22,6,2525.05,9,Champions
118,2026-08-01,6,2508.0,30,Champions
133,2026-08-28,13,2502.7,3,Champions
55,2025-12-04,9,2492.6,270,At Risk
89,2025-11-13,7,2491.85,291,At Risk
185,2026-06-18,7,2415.4,74,Champions
52,2026-08-27,11,2397.1,4,Champions
207,2026-05-12,3,2333.5,111,Loyal
19,2026-05-28,7,2324.35,95,Loyal
208,2026-02-05,10,2280.15,207,At Risk
188,2026-04-05,7,2260.1,148,Developing
255,2026-04-30,9,2240.8,123,Developing
56,2026-07-26,4,2223.0,36,Loyal
240,2026-06-12,7,2203.8,80,Champions
176,2026-07-14,10,2125.55,48,Champions
169,2026-05-12,6,2119.4,111,Loyal
147,2026-06-09,8,2101.65,83,Champions
194,2026-08-12,4,2085.5,19,Loyal
235,2026-06-20,4,2000.05,72,Loyal
163,2026-06-11,5,1992.2,81,Loyal
250,2026-07-24,8,1991.5,38,Champions
1,2026-05-12,6,1965.05,111,Loyal
20,2025-09-28,8,1931.1,337,At Risk
91,2026-06-28,11,1890.9,64,Champions
150,2026-01-30,5,1820.25,213,At Risk
112,2026-08-01,6,1791.0,30,Champions
50,2025-12-02,5,1741.25,272,At Risk
107,2026-08-08,6,1717.2,23,Champions
131,2026-07-04,4,1698.5,58,Loyal
190,2025-07-18,3,1694.5,409,At Risk
27,2026-07-30,7,1665.0,32,Champions
151,2026-07-08,4,1642.0,54,Loyal
179,2026-07-14,3,1616.75,48,Loyal
229,2026-05-30,4,1608.45,93,Loyal
215,2026-08-16,6,1571.0,15,Champions
153,2026-06-16,3,1527.0,76,Loyal
148,2026-05-05,4,1516.5,118,Loyal
152,2026-06-21,3,1513.25,71,Loyal
186,2026-08-28,5,1512.25,3,Loyal
134,2026-06-26,4,1454.05,66,Loyal
165,2026-07-14,5,1412.25,48,Loyal
7,2026-08-30,6,1404.5,1,Champions
74,2025-10-19,7,1385.35,316,At Risk
127,2026-07-09,9,1381.55,53,Champions
96,2026-07-18,5,1332.75,44,Loyal
108,2026-05-14,5,1298.0,109,Loyal
103,2026-05-27,2,1282.0,96,Developing
119,2026-07-26,4,1279.5,36,Loyal
168,2026-05-16,6,1246.25,107,Loyal
3,2025-09-01,4,1199.6,364,At Risk
4,2026-07-23,7,1177.5,39,Champions
39,2026-06-22,3,1151.35,70,Loyal
87,2025-04-06,4,1141.5,512,At Risk
223,2026-04-04,4,1117.75,149,Developing
195,2026-03-26,3,1112.7,158,Developing
28,2026-07-12,3,1090.75,50,Loyal
114,2026-06-17,3,1070.5,75,Loyal
247,2026-07-24,3,1026.75,38,Loyal
48,2026-01-03,6,995.45,240,At Risk
202,2026-08-05,3,990.0,26,Loyal
100,2026-08-10,1,953.5,21,Occasional
183,2026-08-10,4,932.05,21,Loyal
25,2026-04-25,3,924.5,128,Developing
99,2026-05-18,7,923.35,105,Loyal
146,2026-01-15,2,888.4,228,Occasional
64,2026-07-30,2,864.5,32,Developing
63,2026-08-19,2,863.75,12,Developing
122,2026-05-27,3,856.65,96,Loyal
167,2026-03-06,1,850.0,178,Occasional
162,2026-08-28,1,850.0,3,Occasional
9,2026-05-20,1,850.0,103,Occasional
140,2025-08-17,2,793.75,379,Occasional
31,2026-08-05,7,785.45,26,Champions
145,2026-08-22,6,775.2,9,Champions
79,2026-05-18,1,738.2,105,Occasional
149,2026-03-29,2,715.75,155,Developing
72,2026-04-20,3,702.25,133,Developing
90,2026-05-24,3,700.2,99,Loyal
177,2026-08-16,2,658.5,15,Developing
243,2026-08-11,3,654.2,20,Loyal
115,2026-04-19,4,628.5,134,Developing
121,2026-08-07,2,569.0,24,Developing
6,2026-08-23,4,565.75,8,Loyal
17,2026-04-25,2,560.0,128,Developing
33,2026-08-17,4,495.45,14,Loyal
83,2026-07-22,2,479.5,40,Developing
256,2026-05-23,4,476.0,100,Loyal
37,2025-06-07,2,438.25,450,Occasional
143,2026-07-10,2,436.7,52,Developing
54,2026-02-13,1,411.75,199,Occasional
173,2026-08-21,2,404.3,10,Developing
109,2026-07-23,3,402.5,39,Loyal
199,2026-06-17,1,399.5,75,Occasional
170,2026-08-25,4,397.2,6,Loyal
60,2026-08-13,2,337.0,18,Developing
237,2026-07-15,1,323.75,47,Occasional
251,2026-07-20,1,323.0,42,Occasional
132,2026-08-31,3,310.6,0,Loyal
252,2026-08-09,1,301.0,22,Occasional
35,2025-03-31,2,265.8,518,Occasional
12,2026-06-10,1,250.0,82,Occasional
21,2026-07-05,1,250.0,57,Occasional
47,2026-04-20,3,228.0,133,Developing
62,2026-08-04,2,215.65,27,Developing
222,2026-06-22,2,184.5,70,Developing
24,2026-01-02,2,178.5,241,Occasional
182,2026-08-25,2,169.2,6,Developing
201,2026-03-31,2,157.5,153,Developing
110,2026-07-13,1,131.75,49,Occasional
259,2026-08-08,2,126.35,23,Developing
66,2026-01-08,1,55.0,235,Occasional
160,2026-08-04,1,52.25,27,Occasional
94,2026-08-26,1,48.0,5,Occasional
166,2026-04-18,1,43.2,135,Occasional
117,2026-04-15,1,35.0,138,Occasional
