month,net_revenue_gbp,gross_profit_gbp,orders
2024-01,27237.65,8032.65,49
2024-02,16933.65,5053.65,42
2024-03,17844.45,5848.45,47
2024-04,14456.05,4316.05,39
2024-05,13147.85,4534.85,47
2024-06,11062.5,4150.5,45
2024-07,19752.35,5874.35,44
2024-08,16040.75,5348.75,49
2024-09,18859.55,5560.55,43
2024-10,17102.15,5159.15,43
2024-11,15557.3,4429.3,48
2024-12,19208.5,6034.5,44
2025-01,23422.6,7580.6,62
2025-02,23213.1,7254.1,61
2025-03,17281.25,5848.25,66
2025-04,22557.0,7069.0,61
2025-05,26666.25,8055.25,58
2025-06,26631.05,8089.05,58
2025-07,22779.85,7399.85,62
2025-08,23574.6,7347.6,59
2025-09,17613.2,5313.2,57
2025-10,29577.8,9000.8,59
2025-11,19696.45,6326.45,58
2025-12,21902.75,6944.75,57
2026-01,30627.9,9475.9,73
2026-02,24553.55,8037.55,68
2026-03,28465.25,9087.25,75
2026-04,33297.85,10462.85,75
2026-05,38937.25,11511.25,77
2026-06,23149.25,7676.25,68
2026-07,28906.35,9289.35,78
2026-08,29122.65,8906.65,76
